NAME,EXEC,ICON
"2048-qt","2048-qt","2048-qt"
"A7xpg","a7xpg","a7xpg"
"Abe","abe","abe"
"Airstrike","airstrike","airstrike"
"Alex 4","alex4","alex4"
"Alienblaster","alienblaster","alienblaster"
"Amoeba x","amoebax","amoebax"
"Angry dwarfes","angrydd","/usr/share/games/angrydd/angrydd.png"
"Ardentryst","/usr/games/ardentryst","/usr/share/pixmaps/ardentryst.png"
"Arkaway","/home/nbm/Games/linux/Arkaway-alpha-01-x86-64.AppImage","/home/nbm/Games/linux/covers/arkaway.png"
"Armagetron","/usr/games/armagetronad","armagetronad"
"Asciijump","konsole --noclose -e 'asciijump'","asciijump.xpm"
"Astromenace","/usr/games/AstroMenace","astromenace"
"Asylum","asylum","asylum"
"Ballz","ballz","ballz"
"Barrage","barrage","/usr/share/icons/hicolor/48x48/apps/barrage48.png"
"Bloboats","bloboats","bloboats"
"Blobwars","blobwars","blobwars"
"Blockout 2","blockout2","blockout2"
"Briquolo","briquolo","briquolo"
"Breakout HD","breakouthd","net.sourceforge.lgames.LBreakoutHD"
"Cave express","caveexpress","caveexpress-icon"
"Ceferino","ceferino","ceferino"
"Celeste Classic","/home/nbm/Games/linux/Celeste-Classic-x86-64.AppImage","/home/nbm/Games/linux/covers/celeste-classic.png"
"Chromium bsu","chromium-bsu","chromium-bsu"
"ChessMD","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=start.sh org.chessmd.chessmd","org.chessmd.chessmd"
"CroMag Rally","/home/nbm/Games/linux/CroMagRally-3.0.0-linux-x86-64.AppImage","/home/nbm/Games/linux/covers/cromagrally-desktopicon.png"
"Crystal Caves HD","crystalcaves","/home/nbm/Games/Heroic/Crystal Caves HD/support/icon.png"
"Commander Genius","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=CGeniusExe io.sourceforge.clonekeenplus","io.sourceforge.clonekeenplus"
"Cortex Command","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=CortexCommand io.github.cortex_command_community.Cortex-Command-Community-Project","io.github.cortex_command_community.Cortex-Command-Community-Project"
"Dave Gnukem","davegnukem","com.djoffe.gnukem"
"Dungeon Crawl","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=/app/bin/crawl org.develz.Crawl","org.develz.Crawl"
"Dreamchess","dreamchess","dreamchess"
"Fust racing","dustrac-game","dustrac-game"
"Eat the Whistle","etw","etw"
"Fireboy And Watergirl","/home/nbm/Games/linux/Fireboy-and-Watergirl-in-The-Forest-Temple-x86-64.AppImage","/home/nbm/Games/linux/covers/fireboy-and-watergirl-in-the-forest-temple.png"
"Five-or-more","five-or-more","org.gnome.five-or-more"
"Freedroid","freedroid","freedroid"
"Freedroid RPG","freedroidRPG","freedroidrpg"
"Frogatto","frogatto","frogatto"
"FooBillard ++","foobillardplus","foobillardplus"
"Frozen Bubble","frozen-bubble","frozen-bubble"
"Gravitation","gravitation","gravitation"
"GunMayhem 2","/home/nbm/Games/linux/Gun-Mayhem-2-x86-64.AppImage","/home/nbm/Games/linux/covers/gun-mayhem-2.png"
"gunroar","gunroar","gunroar"
"Gold Runner","kgoldrunner","kgoldrunner"
"Gweled","gweled","org.gweled.gweled"
"Hitori","hitori","org.gnome.Hitori"
"Holotz Castle","holotz-castle","holotz-castle"
"Kapmans","kapman","kapman"
"Klickety","klickety","klickety"
"Raptor","kraptor","kraptor"
"Kobo Deluxe","kobodl","kobodeluxe"
"Laby","laby","laby"
"Liquid War 6","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=liquidwar6 org.gnu.liquidwar6","org.gnu.liquidwar6"
"Luola","luola","luola-icon"
"Mars Shooter","marsshooter","marsshooter"
"Moon lander","/usr/games/moon-lander","moon-lander"
"Minigolf 3d","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=neverputt org.neverball.Neverball","org.neverball.neverball.Neverput"
"Mr. Boom","mrboom","mrboom"
"Mu-cade","mu-cade","mu-cade"
"Nanosaur","/home/nbm/Games/linux/Nanosaur-1.4.4-linux-x86-64.AppImage","/home/nbm/Games/linux/covers/nanosaur.png"
"Neverball","neverball","neverball"
"NewtonAdventure","/home/nbm/Games/linux/Newton_Adventure-x86_64.AppImage","/home/nbm/Games/linux/covers/newton.png"
"Nikwi","nikwi","nikwi"
"Njam","njam","njamicon"
"Openclonk","openclonk","openclonk"
"Open invaders","open-invaders -w","open-invaders"
"Peg-e","peg-e","peg-e"
"Pekka kana 2","pekka-kana-2","kanagram"
"Pinball","pinball","pinball.xpm"
"Pingus","pingus","pingus-icon"
"Powermanga","powermanga","powermanga"
"Pyracerz","pyracerz","pyracerz"
"PySol Fan Club","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=pysol io.sourceforge.pysolfc.PySolFC","io.sourceforge.pysolfc.PySolFC"
"Poker TH","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=pokerth net.pokerth.PokerTH","net.pokerth.PokerTH"
"Quadrapassel","quadrapassel","org.gnome.Quadrapassel"
"RedBall","/home/nbm/Games/linux/Red-ball-x86-64.AppImage","/home/nbm/Games/linux/covers/hhhh.png"
"Rocks'n'Diamonds","rocksndiamonds","rocksndiamonds"
"Trains Ri-li","ri-li","app.drey.Elastic"
"SDL-ball","sdl-ball","sdl-ball"
"Seahorse Adventures","seahorse-adventures","step_object_Anchor"
"Spacewars","/home/nbm/Games/linux/Spacewars-x86_64.AppImage","/home/nbm/Games/linux/covers/spacewars.png"
"Spelunky ClassicHD","/home/nbm/Games/linux/Spelunky-Classic-HD-Minimal-x86-64.AppImage","/home/nbm/Games/linux/covers/gg.png"
"Starfighter","starfighter","starfighter"
"StuntCarRemake","/home/nbm/Games/linux/Stunt-Car-Remake-d3cc0c2-x86-64.AppImage","/home/nbm/Games/linux/covers/stuntcar.png"
"Supertux2","supertux2","supertux2"
"Supertuxkart","supertuxkart","supertuxkart"
"Secret Agent HD","secagent","/home/nbm/Games/Heroic/Secret Agent HD/support/icon.png"
"Sonic Robo Blast 2","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=release.sh org.srb2.SRB2","org.srb2.SRB2"
"Space Cadet Pinball","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=SpaceCadetPinball com.github.k4zmu2a.spacecadetpinball","com.github.k4zmu2a.spacecadetpinball"
"Tecnoballz","tecnoballz","tecnoballz"
"Titanion","titanion","titanion"
"Torus Trooper","torus-trooper","torus-trooper"
"Tron","gltron","gltron"
"Trackballs","trackballs","trackballs"
"Tumiki Fighters","tumiki-fighters","tumiki-fighters"
"Tuxfootball","tuxfootball","tuxfootball"
"Val and Rick","val-and-rick","val-and-rick"
"Vectoroids","vectoroids","/usr/share/pixmaps/vectoroids-icon.xpm"
"Wordwarvi","/usr/games/wordwarvi","/usr/share/icons/hicolor/128x128/apps/wordwarvi_icon_128x128.png"
"Xmoto","xmoto","xmoto.xpm"
"Zatikon","/usr/bin/flatpak run --branch=stable --arch=x86_64 --command=zatikon com.chroniclogic.Zatikon","com.chroniclogic.Zatikon"
